top_topic,sub_topic_1,sub_topic_2,sub_topic_3,sub_topic_4,question
Trust,Secure,Organizational Security,Authentication,"Create Salesforce users based on individuals, not personas. Salesforce provides builtin auditing features that are most effective when there is a 1:1 mapping between Salesforce user accounts and entities accessing Salesforce with a user account. Shared user accounts decrease the usefulness of builtin auditing, create additional security risks, increase the potential damage stemming from account breaches, and hinder your ability to create effective authorization schemes. This includes user accounts for integration users.",Are Salesforce users based on individuals rether than personas?
Trust,Secure,Organizational Security,Authentication,Secure UIbased access scenarios. Most human users require some kind of UIbased access (often called login access) for a Salesforce org. Salesforce provides several layers of protection for these login scenarios.,"What are the password policies? Usernames and passwords are a primary target for cybercriminals seeking to gain unauthorized access to applications. Configuring password policies is a baseline step to protecting login access. This step alone is not sufficient, however, as password policies can be overridden on a peruser basis within Salesforce."
Trust,Secure,Organizational Security,Authentication,Secure UIbased access scenarios. Most human users require some kind of UIbased access (often called login access) for a Salesforce org. Salesforce provides several layers of protection for these login scenarios.,"Is Multifactor authentication (MFA) enabled? Salesforce requires MFA for all UIbased user logins. In MFA scenarios, after successfully entering a username and password, users must also provide an additional type of identification, or factor, to verify their identity. This additional factor is usually in a physical format, like a mobile device, security key, or biometric marker. MFA is an essential defense against credential leaks and bruteforce attacks."
Trust,Secure,Organizational Security,Authentication,Secure UIbased access scenarios. Most human users require some kind of UIbased access (often called login access) for a Salesforce org. Salesforce provides several layers of protection for these login scenarios.,"Are systems accessed in a central location (Singlesign)? In SSO scenarios, users only use one set of credentials across an organization�s applications. Access to systems is provisioned and managed from a central location, which improves security. Salesforce can act as a service provider or an identity provider in SSO scenarios."
Trust,Secure,Organizational Security,Authentication,Secure UIbased access scenarios. Most human users require some kind of UIbased access (often called login access) for a Salesforce org. Salesforce provides several layers of protection for these login scenarios.,"What are the Postlogin steps, if any? For some use cases, you might want your users to complete additional steps before they�re allowed to access your system. In such cases, you can use custom login flows to route users through an additional set of process steps before they are granted access to your system. Examples include:
Accepting terms and conditions
Working through login discovery and passwordless login scenarios
Limiting the number of simultaneous Salesforce sessions per user to reduce the likelihood of sessionbased attacks (see session security).
Connecting to geofencing services"
Trust,Secure,Organizational Security,Authentication,"Secure APIbased access scenarios. Any user can request APIbased access for a Salesforce org. Salesforce provides several layers of protection for APIbased scenarios, including:","Is API Access Control utilized? Without API access control, anyone with a valid set of credentials can leverage any app to connect with your org � even if the connected app is not deployed in the org. Data access controls will still be enforced, but users could access information in uncontrolled ways. For example, someone could implement an app to download large volumes of data � or worse, upload a set of corrupted information � without a system administrator ever approving an app."
Trust,Secure,Organizational Security,Authentication,"Secure APIbased access scenarios. Any user can request APIbased access for a Salesforce org. Salesforce provides several layers of protection for APIbased scenarios, including:",Are there API Only permissions? You can configure API Only user permissions in Salesforce. Assign this as part of a permission set to any automated or integration user personas to block UIbased access entirely.
Trust,Secure,Organizational Security,Authentication,"Secure APIbased access scenarios. Any user can request APIbased access for a Salesforce org. Salesforce provides several layers of protection for APIbased scenarios, including:",Do certificates and keys enable Salesforce to validate that requests are actually coming from the business or company authorized to access a particular org? You will need to configure certificates and keys if you want to use SSO with Salesforce.
Trust,Secure,Organizational Security,Authentication,"Secure APIbased access scenarios. Any user can request APIbased access for a Salesforce org. Salesforce provides several layers of protection for APIbased scenarios, including:","Are connected apps in Salesforce configured to control external system access to Salesforce, including required authentication protocols, authorization scope, and session behavior in a single definition?"
Trust,Secure,Organizational Security,Authentication,"Secure APIbased access scenarios. Any user can request APIbased access for a Salesforce org. Salesforce provides several layers of protection for APIbased scenarios, including:","Do named credentials enable you to control external access points and authentication protocols in a single definition within Salesforce to securely define and manage authentication for callouts from Apex, external services, and Salesforce Connect data sources?"
